continent,year,mean_gdp_pc_ppp_2017,mean_neet_youth_pct,n_countries,gdp_pc_growth_pct
North America,1994,15801.647537500001,15.29,24,1.6662589484806478
North America,1995,16032.073937500001,15.03,24,1.458242879124838
North America,1996,16347.596454166667,14.37,24,1.9680704935413296
North America,1997,17743.426536,18.226666666666667,25,8.538442245909273
North America,1998,18146.277304,13.975,25,2.2704226107772785
North America,1999,18718.818284,13.350000000000001,25,3.1551429001572373
North America,2000,19873.006673076925,15.38,26,6.165925495753499
North America,2001,20203.295542307693,19.08,26,1.661997475591992
North America,2002,20279.44638076923,16.98,26,0.3769228554919124
North America,2003,20632.1267,19.33,26,1.7391023039229125
North America,2004,21222.459215384617,19.346,26,2.861229595806125
North America,2005,21655.773046153845,19.485714285714288,26,2.0417701189648696
North America,2006,24682.627044444445,19.35857142857143,27,13.977122829277988
North America,2007,25208.685285185184,18.341666666666665,27,2.1312895089874218
North America,2008,25195.500351851853,20.0075,27,-0.052303137526488186
North America,2009,24474.415785714285,22.137777777777778,28,-2.8619577149400333
North America,2010,24368.74387142857,20.72833333333333,28,-0.43176480783412297
North America,2011,24594.043155172414,22.219,29,0.9245420483408484
North America,2012,24540.899903448277,20.178461538461537,29,-0.21608180236506458
North America,2013,24609.527586206896,24.8175,29,0.2796461540881534
North America,2014,24842.52501724138,22.8,29,0.946777341492222
North America,2015,25124.4286862069,21.815,29,1.1347625443463238
North America,2016,25328.80666551724,23.126666666666665,29,0.8134631909960444
North America,2017,25527.47924137931,23.0125,29,0.7843740073729677
North America,2018,25789.930955172415,20.575,29,1.0281144930584407
North America,2019,25736.477967857143,21.182307692307692,28,-0.20726301054539986
North America,2020,22771.978442857144,23.03181818181818,28,-11.518668283602862
North America,2021,24016.096321428573,22.017,28,5.463371931838745
Oceania,1990,7765.248391666666,NA,12,NA
Oceania,1991,7606.688425,NA,12,-2.0419175108014054
Oceania,1992,7688.068133333333,NA,12,1.0698441133183856
Oceania,1993,7983.161733333333,NA,12,3.8383322686821097
Oceania,1994,8245.3187,NA,12,3.283873926442471
Oceania,1995,8461.447191666666,NA,12,2.6212266563652165
Oceania,1996,8581.937033333334,NA,12,1.4239862158016203
Oceania,1997,8612.7072,NA,12,0.3585457053244756
Oceania,1998,8746.327658333334,NA,12,1.551433889838183
Oceania,1999,9027.696525,NA,12,3.21699435074998
Oceania,2000,9462.398784615385,27.23,13,4.8152068294673445
